Timestamp,Voltage(V),Current(A),Power(W),Energy(kWh),Cost($),Alert Status
2026-06-12 12:40:07,230.0,3.29,756.7,0.00042,0.0001,NORMAL
2026-06-12 12:40:08,230.0,3.84,883.2,0.000911,0.0001,NORMAL
2026-06-12 12:40:09,230.0,1.93,443.9,0.001158,0.0002,NORMAL
2026-06-12 12:40:10,230.0,5.05,1161.5,0.001803,0.0003,NORMAL
2026-06-12 12:40:11,230.0,11.55,2656.5,0.003279,0.0005,CRITICAL: OVERLOAD
2026-06-12 12:40:12,230.0,16.33,3755.9,0.005365,0.0008,CRITICAL: OVERLOAD
2026-06-12 12:40:14,230.0,1.36,312.8,0.005539,0.0008,NORMAL
2026-06-12 12:40:15,230.0,1.78,409.4,0.005767,0.0009,NORMAL
2026-06-12 12:40:16,230.0,1.51,347.3,0.00596,0.0009,NORMAL
2026-06-12 12:40:17,230.0,5.95,1368.5,0.00672,0.001,NORMAL
2026-06-12 12:40:18,230.0,2.56,588.8,0.007047,0.0011,NORMAL
2026-06-12 12:40:19,230.0,3.02,694.6,0.007433,0.0011,NORMAL
2026-06-12 12:40:20,230.0,2.94,676.2,0.007808,0.0012,NORMAL
2026-06-12 12:40:21,230.0,2.81,646.3,0.008168,0.0012,NORMAL
2026-06-12 12:40:22,230.0,1.06,243.8,0.008303,0.0012,NORMAL
2026-06-12 12:42:25,230.0,1.49,342.7,0.00019,0.0,NORMAL
2026-06-12 12:42:26,230.0,3.01,692.3,0.000575,0.0001,NORMAL
2026-06-12 12:42:27,230.0,1.57,361.1,0.000776,0.0001,NORMAL
2026-06-12 12:42:28,230.0,1.33,305.9,0.000946,0.0001,NORMAL
2026-06-12 12:42:29,230.0,1.81,416.3,0.001177,0.0002,NORMAL
2026-06-12 12:42:30,230.0,1.54,354.2,0.001374,0.0002,NORMAL
2026-06-12 12:42:31,230.0,2.96,680.8,0.001752,0.0003,NORMAL
2026-06-12 12:42:32,230.0,13.89,3194.7,0.003527,0.0005,CRITICAL: OVERLOAD
2026-06-12 12:42:33,230.0,0.63,144.9,0.003607,0.0005,NORMAL
2026-06-12 12:42:34,230.0,4.1,943.0,0.004131,0.0006,NORMAL
2026-06-12 12:42:35,230.0,1.8,414.0,0.004361,0.0007,NORMAL
2026-06-12 12:42:36,230.0,2.96,680.8,0.004739,0.0007,NORMAL
2026-06-12 12:42:37,230.0,0.92,211.6,0.004857,0.0007,NORMAL
2026-06-12 12:42:38,230.0,4.06,933.8,0.005376,0.0008,NORMAL
2026-06-12 12:42:39,230.0,1.65,379.5,0.005586,0.0008,NORMAL
2026-06-12 12:43:04,230.0,12.21,2808.3,0.00156,0.0002,CRITICAL: OVERLOAD
2026-06-12 12:43:05,230.0,3.47,798.1,0.002004,0.0003,NORMAL
2026-06-12 12:43:06,230.0,3.53,811.9,0.002455,0.0004,NORMAL
2026-06-12 12:43:07,230.0,0.52,119.6,0.002521,0.0004,NORMAL
2026-06-12 12:43:08,230.0,1.49,342.7,0.002711,0.0004,NORMAL
2026-06-12 12:43:09,230.0,0.64,147.2,0.002793,0.0004,NORMAL
2026-06-12 12:43:10,230.0,14.45,3323.5,0.00464,0.0007,CRITICAL: OVERLOAD
2026-06-12 12:43:11,230.0,0.52,119.6,0.004706,0.0007,NORMAL
2026-06-12 12:43:12,230.0,5.65,1299.5,0.005428,0.0008,NORMAL
2026-06-12 12:43:13,230.0,3.17,729.1,0.005833,0.0009,NORMAL
2026-06-12 12:43:14,230.0,0.5,115.0,0.005897,0.0009,NORMAL
2026-06-12 12:43:15,230.0,13.01,2992.3,0.007559,0.0011,CRITICAL: OVERLOAD
2026-06-12 12:43:16,230.0,0.65,149.5,0.007642,0.0011,NORMAL
2026-06-12 12:43:17,230.0,5.39,1239.7,0.008331,0.0012,NORMAL
2026-06-12 12:43:18,230.0,1.65,379.5,0.008542,0.0013,NORMAL
2026-06-12 13:17:53,230.0,3.97,913.1,0.000507,0.0001,NORMAL
2026-06-12 13:17:54,230.0,3.82,878.6,0.000995,0.0001,NORMAL
2026-06-12 13:17:55,230.0,1.64,377.2,0.001205,0.0002,NORMAL
2026-06-12 13:17:56,230.0,0.88,202.4,0.001317,0.0002,NORMAL
2026-06-12 13:17:57,230.0,1.73,397.9,0.001538,0.0002,NORMAL
2026-06-12 13:17:58,230.0,1.45,333.5,0.001724,0.0003,NORMAL
2026-06-12 13:17:59,230.0,1.32,303.6,0.001892,0.0003,NORMAL
2026-06-12 13:18:00,230.0,1.83,420.9,0.002126,0.0003,NORMAL
2026-06-12 13:18:01,230.0,2.7,621.0,0.002471,0.0004,NORMAL
2026-06-12 13:18:02,230.0,1.63,374.9,0.002679,0.0004,NORMAL
2026-06-12 13:18:03,230.0,13.32,3063.6,0.004381,0.0007,CRITICAL: OVERLOAD
2026-06-12 13:18:04,230.0,2.8,644.0,0.004739,0.0007,NORMAL
2026-06-12 13:18:05,230.0,0.85,195.5,0.004848,0.0007,NORMAL
2026-06-12 13:18:06,230.0,1.28,294.4,0.005011,0.0008,NORMAL
2026-06-12 13:18:07,230.0,2.73,627.9,0.00536,0.0008,NORMAL
