Timestamp,Voltage(V),Current(A),Power(W),Energy(kWh),Cost($),Alert Status
2026-06-12 13:44:30,230.0,0.81,186.3,0.000104,0.0,NORMAL
2026-06-12 13:44:31,230.0,1.08,248.4,0.000242,0.0,NORMAL
2026-06-12 13:44:32,230.0,1.97,453.1,0.000493,0.0001,NORMAL
2026-06-12 13:44:33,230.0,3.26,749.8,0.00091,0.0001,NORMAL
2026-06-12 13:44:34,230.0,4.34,998.2,0.001464,0.0002,NORMAL
2026-06-12 13:44:35,230.0,3.19,733.7,0.001872,0.0003,NORMAL
2026-06-12 13:44:36,230.0,1.84,423.2,0.002107,0.0003,NORMAL
2026-06-12 13:44:37,230.0,4.41,1014.3,0.002671,0.0004,NORMAL
2026-06-12 13:44:38,230.0,12.63,2904.9,0.004284,0.0006,CRITICAL: OVERLOAD
2026-06-12 13:44:39,230.0,1.15,264.5,0.004431,0.0007,NORMAL
2026-06-12 13:44:40,230.0,1.8,414.0,0.004661,0.0007,NORMAL
2026-06-12 13:44:41,230.0,1.29,296.7,0.004826,0.0007,NORMAL
2026-06-12 13:44:42,230.0,1.52,349.6,0.00502,0.0008,NORMAL
2026-06-12 13:44:43,230.0,0.62,142.6,0.0051,0.0008,NORMAL
2026-06-12 13:44:44,230.0,4.65,1069.5,0.005694,0.0009,NORMAL
2026-06-12 13:44:47,230.0,0.92,211.6,0.000118,0.0,NORMAL
2026-06-12 13:44:48,230.0,1.89,434.7,0.000359,0.0001,NORMAL
2026-06-12 13:44:49,230.0,4.49,1032.7,0.000933,0.0001,NORMAL
2026-06-12 13:44:50,230.0,12.28,2824.4,0.002502,0.0004,CRITICAL: OVERLOAD
2026-06-12 13:44:51,230.0,1.47,338.1,0.00269,0.0004,NORMAL
2026-06-12 13:44:52,230.0,1.63,374.9,0.002898,0.0004,NORMAL
2026-06-12 13:44:53,230.0,1.38,317.4,0.003074,0.0005,NORMAL
2026-06-12 13:44:54,230.0,11.99,2757.7,0.004606,0.0007,CRITICAL: OVERLOAD
2026-06-12 13:44:55,230.0,5.28,1214.4,0.005281,0.0008,NORMAL
2026-06-12 13:44:56,230.0,0.61,140.3,0.005359,0.0008,NORMAL
2026-06-12 13:44:57,230.0,4.0,920.0,0.00587,0.0009,NORMAL
2026-06-12 13:44:58,230.0,13.22,3040.6,0.007559,0.0011,CRITICAL: OVERLOAD
2026-06-12 13:44:59,230.0,1.91,439.3,0.007803,0.0012,NORMAL
2026-06-12 13:45:00,230.0,1.12,257.6,0.007947,0.0012,NORMAL
2026-06-12 13:45:01,230.0,1.18,271.4,0.008097,0.0012,NORMAL
